text,emotion
Feeling really stressed about my exams,negative
Writing assignments is making me anxious,negative
I am worrying too much about my future,negative
I had a mental breakdown today,negative
The little things are stressing me out,negative
I am so stressed and tired,negative
Stress is affecting my sleep,negative
I feel stressed at work,negative
Let me vent my stress,negative
Coworker pressure is stressful,negative
I did my best but still feel stressed,negative
I am so stressed about deadlines,negative
I am tired of stress,negative
Stress symptoms are increasing,negative
Thoughts are stressing me out,negative
Just a stressful day,negative
Video games are not helping my stress,negative
Subconscious stress is worrying me,negative
Can you help me manage stress,negative
HELP I have too much stress,negative
,
I feel calm today,neutral
My day is going fine,neutral
Nothing special happened today,neutral
I feel okay right now,neutral
Everything feels normal,neutral
,
I am happy with my progress,positive
I feel relaxed and confident,positive
Today is a good day,positive
I feel motivated and positive,positive
I am mentally strong today,positive
